CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
01219,16.46,19.51,18.29,22.56,7.32,31.25,43.75,25.0,0.0
01224,15.84,23.94,17.68,13.31,4.12,25.53,25.74,40.05,7.86
01225,13.65,16.13,26.32,22.21,6.96,18.88,38.3,32.65,6.69
01227,12.46,16.82,23.52,21.65,5.76,30.91,32.73,29.09,7.27
01228,15.61,18.48,24.09,16.36,6.52,26.42,30.19,35.85,5.66
01229,17.57,18.37,19.15,16.92,7.81,31.42,29.82,29.53,9.22
01230,10.65,19.21,22.36,22.29,6.81,36.34,25.08,24.3,14.28
01231,13.75,17.78,21.35,20.67,7.34,24.17,34.91,31.16,9.76
01232,13.46,17.92,21.45,19.05,9.2,31.07,33.81,29.9,4.17
01233,9.16,20.61,19.85,17.56,12.21,33.33,25.0,25.0,16.67
01234,17.16,16.57,24.26,22.49,9.47,33.33,40.0,26.67,0.0
01235,16.2,20.53,17.98,12.3,7.38,33.67,27.55,34.69,4.08
01236,14.14,18.5,22.35,15.92,7.32,27.71,32.53,32.53,6.02
01237,16.55,18.2,23.67,15.61,4.68,21.37,32.79,35.77,7.73
01238,14.47,18.16,24.4,16.35,5.76,22.64,27.83,35.85,13.21
01239,13.34,18.1,20.57,21.68,7.25,23.7,34.92,33.76,3.85
01240,10.91,20.27,26.76,15.76,5.82,30.44,31.25,34.7,3.61
01241,11.87,19.62,22.35,20.21,7.01,28.95,31.58,25.44,12.28
01242,20.74,20.0,18.52,16.3,3.7,41.67,8.33,33.33,16.67
01243,14.37,16.76,24.98,18.44,6.38,23.3,35.92,36.89,3.88
01244,16.66,20.48,18.75,14.67,7.33,34.56,23.97,29.71,11.18
01245,13.14,18.99,19.86,16.93,7.13,29.67,28.67,32.88,8.77
01246,16.02,19.42,17.87,17.66,7.16,25.47,32.44,30.8,10.15
01247,11.71,21.07,24.41,19.4,5.02,37.93,27.59,34.48,0.0
01248,16.17,17.28,27.17,15.77,4.77,20.9,30.51,40.11,6.78
01249,15.88,20.63,19.92,13.74,6.81,32.77,24.85,31.93,9.84
01250,20.63,17.72,22.63,14.62,5.22,16.02,37.88,37.05,7.52
01252,12.09,20.1,20.23,17.56,7.25,23.81,30.16,31.75,11.11
01254,12.66,19.27,23.26,19.0,5.32,18.39,39.11,35.59,6.91
01255,15.15,20.09,17.16,16.23,6.96,28.3,28.3,32.08,9.43
01257,16.81,19.09,21.37,15.38,7.69,29.03,32.26,32.26,3.23
01258,14.85,16.46,27.1,17.01,4.33,16.71,39.36,37.19,4.36
01259,15.68,21.33,24.15,12.43,3.95,16.98,30.19,45.28,5.66
01260,12.5,22.7,20.39,13.16,5.92,13.64,36.36,36.36,13.64
01261,14.6,17.18,26.05,16.8,5.21,18.28,36.19,35.54,9.98
01262,18.94,19.07,19.66,14.64,7.77,35.41,25.8,28.67,9.11
01263,14.2,17.61,22.18,17.07,8.76,31.58,29.1,30.34,8.67
01264,15.75,18.41,24.21,14.37,5.71,24.1,31.33,38.55,4.82
01265,16.53,19.6,21.22,15.04,6.78,34.97,26.68,27.62,9.72
01266,15.82,14.46,19.06,20.39,13.41,39.41,29.9,19.23,9.76
01267,14.26,20.09,21.1,18.72,5.48,23.56,29.2,35.24,10.79
01268,9.76,18.7,21.95,20.73,7.32,33.33,33.33,23.81,9.52
01269,18.07,19.28,18.04,13.39,7.95,42.86,19.25,24.36,12.5
01272,14.43,18.45,18.3,18.23,9.64,35.45,32.21,25.7,4.41
01273,14.97,20.58,21.29,15.03,5.96,25.41,33.46,36.84,2.86
01274,17.36,20.78,20.62,13.18,6.05,26.0,20.0,30.0,20.0
01275,15.07,18.31,22.76,17.75,6.26,24.06,32.86,35.73,6.86
01276,16.01,20.02,25.03,13.01,3.87,14.33,34.68,43.04,6.19
01277,13.45,18.49,23.53,17.65,9.24,45.45,36.36,18.18,0.0
01279,14.29,14.29,20.24,22.62,9.52,44.44,33.33,22.22,0.0
01280,12.77,17.02,21.28,19.15,10.64,50.0,21.43,14.29,14.29
01281,15.61,22.6,22.42,10.89,4.22,34.03,23.75,32.97,7.88
01282,12.4,21.71,18.99,20.93,5.04,31.82,31.82,22.73,9.09
01283,16.73,18.44,19.54,15.23,7.09,36.85,23.5,28.08,10.17
01284,16.14,22.43,21.57,14.14,6.14,19.64,35.71,35.71,8.93
01285,19.13,18.55,22.74,15.08,4.34,16.78,27.85,42.02,11.12
01286,9.67,16.3,22.92,26.29,5.99,23.75,40.0,31.25,3.75
01288,16.6,26.07,22.06,9.21,3.54,29.39,25.18,34.24,8.43
01289,16.59,14.12,21.32,19.43,11.44,33.86,34.81,21.25,8.46
01290,15.91,15.86,23.7,19.36,8.82,30.93,35.57,26.87,5.67
01291,15.5,17.59,23.29,19.52,6.62,19.73,41.58,31.39,7.3
01293,8.28,16.56,28.03,19.11,4.46,23.08,46.15,30.77,0.0
01294,11.77,22.51,22.12,16.73,6.62,27.51,31.88,26.11,10.14
01295,16.74,26.59,19.39,7.34,1.64,13.17,22.09,53.64,11.1
01296,13.06,21.84,17.75,16.47,7.17,27.19,27.83,32.46,6.33
01297,14.42,20.3,24.68,13.26,4.61,17.19,23.44,43.75,15.62
01298,7.33,23.33,18.67,22.67,5.33,16.67,41.67,41.67,0.0
01299,17.61,20.1,24.42,13.93,3.97,22.44,36.84,35.88,4.85
01301,13.08,18.07,22.26,17.99,8.64,26.33,35.85,30.33,7.02
01302,9.09,13.33,24.24,28.48,10.3,33.33,33.33,20.0,6.67
01303,15.26,18.21,20.17,16.28,9.23,37.55,25.05,25.58,9.83
01304,16.91,18.67,19.97,15.25,7.85,32.24,25.71,30.61,11.02
01305,15.91,14.91,17.76,18.3,13.87,50.91,25.0,15.0,8.18
01306,18.56,17.95,15.59,16.16,12.8,45.38,20.94,16.13,16.87
01307,16.63,15.79,21.53,17.82,10.17,33.33,29.33,29.33,6.67
01308,15.61,18.96,24.16,15.61,5.7,30.43,24.64,33.33,8.7
01309,17.05,14.77,22.73,17.05,9.09,37.5,12.5,25.0,25.0
01310,7.72,25.12,33.31,15.77,3.7,20.0,20.0,50.0,0.0
01311,9.09,22.73,22.73,18.18,11.36,25.0,50.0,25.0,0.0
01313,15.8,25.37,20.78,10.37,3.17,34.22,20.56,32.89,10.61
01314,12.48,23.42,21.43,12.61,7.17,28.06,30.85,36.82,2.83
01317,10.91,23.33,20.91,13.33,6.36,33.33,25.93,33.33,7.41
01318,15.56,18.87,24.52,16.39,3.17,12.0,32.0,48.0,8.0
01319,13.06,19.27,23.13,15.2,7.92,21.05,39.47,34.21,5.26
01320,13.15,18.78,21.31,17.43,8.32,26.25,32.5,34.06,6.87
01321,13.35,18.74,25.6,15.59,5.26,20.31,24.43,45.24,2.87
01322,15.2,18.39,22.45,15.1,7.12,19.8,30.8,38.53,9.47
01323,12.08,21.23,19.38,18.37,8.21,28.35,32.74,32.66,6.25
01325,13.99,18.26,24.82,20.25,3.35,18.47,35.41,39.31,4.09
01328,16.68,18.13,18.95,17.16,8.27,19.05,39.29,33.9,7.76
01329,9.15,14.38,28.76,26.8,12.42,37.5,43.75,0.0,0.0
01330,12.22,12.22,25.56,24.44,11.11,25.0,50.0,25.0,0.0
01331,13.02,19.79,26.56,9.38,10.94,29.41,23.53,35.29,11.76
01332,14.3,21.25,22.62,17.56,4.75,17.05,35.67,40.48,6.79
01333,16.62,17.59,20.56,18.45,7.11,28.05,32.33,31.29,7.96
01334,14.98,21.93,20.96,14.57,3.55,16.67,36.32,44.81,2.19
01335,11.94,22.39,19.15,13.43,5.72,14.81,29.63,44.44,11.11
01336,12.72,19.97,20.72,16.93,6.4,27.27,32.32,31.31,9.09
01337,13.97,16.88,21.92,18.73,7.39,21.68,35.35,31.22,10.77
01338,11.57,18.88,20.69,19.82,6.35,28.5,28.56,30.7,9.18
01339,12.17,14.46,24.23,20.61,9.18,19.72,39.05,33.82,7.42
01342,17.58,16.48,25.82,14.65,5.31,19.51,26.83,48.78,4.88
01343,14.11,21.61,19.93,15.99,5.45,21.7,32.83,36.23,8.52
01344,12.67,16.14,21.59,20.23,10.05,30.83,35.15,24.62,8.27
01345,16.12,17.91,21.25,18.66,7.44,32.83,29.29,27.27,10.1
01346,14.08,19.01,22.89,14.67,7.75,23.94,38.03,32.39,4.23
01347,13.27,18.53,23.55,18.82,5.16,19.14,35.19,36.42,8.02
01348,14.83,18.55,21.3,16.45,8.39,29.3,29.24,32.41,7.41
01349,12.18,19.49,22.05,23.8,4.28,14.42,42.21,37.81,5.56
01350,13.59,18.72,21.18,18.48,8.92,30.49,33.43,26.42,7.41
01351,16.23,20.53,21.03,12.13,5.32,23.11,25.52,42.03,9.34
01352,14.55,17.7,19.78,18.0,7.86,26.61,33.31,37.86,0.0
01353,15.21,20.8,24.09,14.34,3.77,18.27,27.88,45.7,8.15
01354,18.72,28.01,17.33,8.64,3.76,31.21,23.45,32.69,8.46
01355,14.34,20.23,22.18,16.59,4.83,31.73,30.94,32.22,5.11
01356,14.35,21.53,19.14,18.66,2.87,23.53,35.29,35.29,0.0
01357,20.52,19.32,20.92,15.34,5.78,31.82,22.73,31.82,13.64
01358,10.72,20.03,20.05,20.34,8.54,27.21,42.41,22.61,7.77
01359,11.91,17.45,25.53,21.7,3.83,16.67,38.89,38.89,5.56
01360,13.55,27.43,20.73,12.31,3.49,27.94,28.19,34.19,7.6
01361,14.08,20.16,23.59,16.23,5.33,19.51,33.33,39.02,7.32
01362,12.66,21.57,23.74,15.11,3.53,16.9,32.77,39.7,8.96
01363,16.37,17.61,24.15,16.08,7.11,33.76,29.94,28.03,7.01
01364,13.89,17.24,19.71,20.85,7.96,31.19,34.3,30.03,4.49
01365,12.65,20.32,19.79,19.17,5.61,19.11,38.21,33.69,6.74
01366,13.16,24.25,22.47,10.19,3.96,16.35,31.19,48.4,4.06
01367,12.02,22.6,15.79,16.53,9.49,31.14,36.22,25.75,3.44
01368,13.96,21.92,20.43,14.3,5.74,20.6,28.55,34.97,11.11
01369,12.4,16.27,26.4,20.86,6.88,20.12,42.1,33.67,2.77
01370,21.57,21.89,16.8,14.2,8.43,59.27,14.43,9.85,15.38
01371,19.2,21.95,24.15,11.74,3.25,24.4,26.14,40.34,8.08
01372,13.04,18.11,20.75,17.24,7.92,23.31,32.27,32.66,5.89
01373,16.15,15.46,26.36,16.36,7.83,27.59,31.03,31.03,9.2
01374,14.19,19.9,20.86,18.0,6.12,27.59,30.63,31.59,8.92
01375,10.74,21.36,22.51,18.16,6.52,24.62,33.85,33.85,7.69
01376,18.06,18.51,20.52,14.3,8.05,31.56,24.42,32.06,10.07
01378,14.97,17.87,26.18,14.6,5.5,20.83,33.96,38.36,5.88
01379,14.44,23.62,18.37,14.44,5.51,24.59,27.87,34.43,13.11
01380,12.6,12.77,23.75,21.78,10.65,42.11,28.07,22.81,7.02
01381,15.44,22.59,20.65,13.43,4.13,21.05,25.2,43.47,8.87
01382,11.47,19.38,26.36,17.91,5.13,19.01,32.31,30.48,9.1
01383,15.52,19.44,20.55,16.72,5.31,26.16,29.63,32.35,11.02
01384,14.63,17.87,20.06,15.49,9.14,43.22,23.62,22.61,10.05
