,TYPECOM,COM,REG,DEP,LIBELLE_COM,LIBELLE_DEP,LIBELLE_REG,Code_postal,latitude,longitude
20547,COM,46290,76,46,Saint-Projet,Lot,Occitanie,46300,44.747134816,1.511472616
20548,COMD,46291,,,Saint-Sauveur-la-Vallée,,,,,
20549,COM,46292,76,46,Saint-Simon,Lot,Occitanie,46320,44.70066182,1.828776136
20550,COM,46293,76,46,Saint-Sozy,Lot,Occitanie,46200,44.881683696,1.550736013
20551,COM,46294,76,46,Saint-Sulpice,Lot,Occitanie,46160,44.579104583,1.795224872
20552,COM,46295,76,46,Saint-Vincent-du-Pendit,Lot,Occitanie,46400,44.833776215,1.904679211
20553,COM,46296,76,46,Saint-Vincent-Rive-d'Olt,Lot,Occitanie,46140,44.448908166,1.313537766
20554,COM,46297,76,46,Salviac,Lot,Occitanie,46340,44.685563686,1.264654
20555,COMD,46298,,,Sarrazac,,,,,
20556,COM,46299,76,46,Sauliac-sur-Célé,Lot,Occitanie,46330,44.522873315,1.717734352
20557,COMD,46300,,,Saux,,,,,
20558,COM,46301,76,46,Sauzet,Lot,Occitanie,46140,44.418316352,1.259830644
20559,COM,46302,76,46,Sénaillac-Latronquière,Lot,Occitanie,46210,44.837306719,2.07465355
20560,COM,46303,76,46,Sénaillac-Lauzès,Lot,Occitanie,46360,44.589542355,1.651279678
20561,COM,46304,76,46,Séniergues,Lot,Occitanie,46240,44.714112855,1.560363544
20562,COM,46305,76,46,Sérignac,Lot,Occitanie,46700,44.427960356,1.086183208
20563,COM,46306,76,46,Sonac,Lot,Occitanie,46320,44.692009945,1.85387729
20564,COM,46307,76,46,Soturac,Lot,Occitanie,46700,44.507960134,1.023573196
20565,COM,46308,76,46,Soucirac,Lot,Occitanie,46300,44.707392193,1.504173591
20566,COM,46309,76,46,Souillac,Lot,Occitanie,46200,44.907349236,1.46296725
20567,COM,46310,76,46,Soulomès,Lot,Occitanie,46240,44.629667878,1.608011413
20568,COM,46311,76,46,Sousceyrac-en-Quercy,Lot,Occitanie,46190,44.905439497,2.031784337
20569,COM,46311,76,46,Sousceyrac-en-Quercy,Lot,Occitanie,46190,44.905439497,2.031784337
20570,COM,46311,76,46,Sousceyrac-en-Quercy,Lot,Occitanie,46190,44.905439497,2.031784337
20571,COM,46311,76,46,Sousceyrac-en-Quercy,Lot,Occitanie,46190,44.905439497,2.031784337
20572,COM,46311,76,46,Sousceyrac-en-Quercy,Lot,Occitanie,46190,44.905439497,2.031784337
20573,COMD,46311,,,Sousceyrac,,,46190,44.905439497,2.031784337
20574,COMD,46311,,,Sousceyrac,,,46190,44.905439497,2.031784337
20575,COMD,46311,,,Sousceyrac,,,46190,44.905439497,2.031784337
20576,COMD,46311,,,Sousceyrac,,,46190,44.905439497,2.031784337
20577,COMD,46311,,,Sousceyrac,,,46190,44.905439497,2.031784337
20578,COM,46312,76,46,Strenquels,Lot,Occitanie,46110,44.974668693,1.636330428
20579,COM,46313,76,46,Tauriac,Lot,Occitanie,46130,44.91043172,1.77350941
20580,COM,46314,76,46,Terrou,Lot,Occitanie,46120,44.782029677,1.976073034
20581,COM,46315,76,46,Teyssieu,Lot,Occitanie,46190,44.916753542,1.957634191
20582,COM,46316,76,46,Thédirac,Lot,Occitanie,46150,44.599449127,1.320455436
20583,COM,46317,76,46,Thégra,Lot,Occitanie,46500,44.82424234,1.751920574
20584,COM,46318,76,46,Thémines,Lot,Occitanie,46120,44.736172931,1.821014093
20585,COM,46319,76,46,Théminettes,Lot,Occitanie,46120,44.718480906,1.85032046
20586,COM,46320,76,46,Tour-de-Faure,Lot,Occitanie,46330,44.475728957,1.687288865
20587,COM,46321,76,46,Touzac,Lot,Occitanie,46700,44.496849244,1.059610518
20588,COM,46322,76,46,Trespoux-Rassiels,Lot,Occitanie,46090,44.421464332,1.358418663
20589,COM,46323,76,46,Ussel,Lot,Occitanie,46240,44.591964953,1.495856881
20590,COM,46324,76,46,Uzech,Lot,Occitanie,46310,44.593433254,1.385036732
20591,COMD,46325,,,Vaillac,,,,,
20592,COMD,46327,,,Valroufié,,,,,
20593,COM,46328,76,46,Varaire,Lot,Occitanie,46260,44.368691592,1.718334333
20594,COM,46329,76,46,Vaylats,Lot,Occitanie,46230,44.325720408,1.650236144
20595,COM,46330,76,46,Vayrac,Lot,Occitanie,46110,44.945272341,1.692844397
20596,COMD,46331,,,Vers,,,,,
20597,COM,46332,76,46,Viazac,Lot,Occitanie,46100,44.652374304,2.073037387
20598,COM,46333,76,46,Vidaillac,Lot,Occitanie,46260,44.346007841,1.819237769
20599,COM,46334,76,46,Le Vigan,Lot,Occitanie,46300,44.739508083,1.451955414
20600,COM,46335,76,46,Villesèque,Lot,Occitanie,46090,44.397545362,1.314586696
20601,COM,46336,76,46,Vire-sur-Lot,Lot,Occitanie,46700,44.487905597,1.099304351
20602,COM,46337,76,46,Mayrac,Lot,Occitanie,46200,44.899390846,1.545459535
20603,COM,46338,76,46,Bessonies,Lot,Occitanie,46210,44.808973232,2.144665133
20604,COM,46339,76,46,Saint-Jean-Lagineste,Lot,Occitanie,46400,44.825361969,1.852013048
20605,COM,46340,76,46,Saint-Pierre-Lafeuille,Lot,Occitanie,46090,44.517369358,1.455362951
20606,COM,47001,75,47,Agen,Lot-et-Garonne,Nouvelle-Aquitaine,47000,44.202826475,0.625730523
20607,COM,47002,75,47,Agmé,Lot-et-Garonne,Nouvelle-Aquitaine,47350,44.489430686,0.34048455
20608,COM,47003,75,47,Agnac,Lot-et-Garonne,Nouvelle-Aquitaine,47800,44.641053484,0.382996042
20609,COM,47004,75,47,Aiguillon,Lot-et-Garonne,Nouvelle-Aquitaine,47190,44.301158324,0.357814808
20610,COM,47005,75,47,Allemans-du-Dropt,Lot-et-Garonne,Nouvelle-Aquitaine,47800,44.623398655,0.286349554
20611,COM,47006,75,47,Allez-et-Cazeneuve,Lot-et-Garonne,Nouvelle-Aquitaine,47110,44.382408912,0.628605048
20612,COM,47007,75,47,Allons,Lot-et-Garonne,Nouvelle-Aquitaine,47420,44.193202109,-0.080125689
20613,COM,47008,75,47,Ambrus,Lot-et-Garonne,Nouvelle-Aquitaine,47160,44.230183089,0.246089185
20614,COM,47009,75,47,Andiran,Lot-et-Garonne,Nouvelle-Aquitaine,47170,44.102108535,0.285766416
20615,COM,47010,75,47,Antagnac,Lot-et-Garonne,Nouvelle-Aquitaine,47700,44.355893441,-0.00127596
20616,COM,47011,75,47,Anthé,Lot-et-Garonne,Nouvelle-Aquitaine,47370,44.373398888,0.95537278
20617,COM,47012,75,47,Anzex,Lot-et-Garonne,Nouvelle-Aquitaine,47700,44.286127406,0.170592199
20618,COM,47013,75,47,Argenton,Lot-et-Garonne,Nouvelle-Aquitaine,47250,44.384833781,0.066485955
20619,COM,47014,75,47,Armillac,Lot-et-Garonne,Nouvelle-Aquitaine,47800,44.555656493,0.390429199
20620,COM,47015,75,47,Astaffort,Lot-et-Garonne,Nouvelle-Aquitaine,47220,44.064616182,0.657926343
20621,COM,47016,75,47,Aubiac,Lot-et-Garonne,Nouvelle-Aquitaine,47310,44.137653256,0.568156925
20622,COM,47017,75,47,Auradou,Lot-et-Garonne,Nouvelle-Aquitaine,47140,44.340941105,0.814645897
20623,COM,47018,75,47,Auriac-sur-Dropt,Lot-et-Garonne,Nouvelle-Aquitaine,47120,44.654444743,0.24404682
20624,COM,47019,75,47,Bajamont,Lot-et-Garonne,Nouvelle-Aquitaine,47480,44.258534074,0.701767383
20625,COM,47020,75,47,Baleyssagues,Lot-et-Garonne,Nouvelle-Aquitaine,47120,44.682122855,0.149490551
20626,COM,47021,75,47,Barbaste,Lot-et-Garonne,Nouvelle-Aquitaine,47230,44.158652882,0.24426612
20627,COM,47022,75,47,Bazens,Lot-et-Garonne,Nouvelle-Aquitaine,47130,44.268073985,0.427606616
20628,COM,47023,75,47,Beaugas,Lot-et-Garonne,Nouvelle-Aquitaine,47290,44.511535754,0.623615266
20629,COM,47024,75,47,Beaupuy,Lot-et-Garonne,Nouvelle-Aquitaine,47200,44.532607441,0.145286888
20630,COM,47025,75,47,Beauville,Lot-et-Garonne,Nouvelle-Aquitaine,47470,44.274907634,0.897107661
20631,COM,47026,75,47,Beauziac,Lot-et-Garonne,Nouvelle-Aquitaine,47700,44.313370517,0.032249262
20632,COM,47027,75,47,Bias,Lot-et-Garonne,Nouvelle-Aquitaine,47300,44.410370182,0.67004364
20633,COM,47028,75,47,Birac-sur-Trec,Lot-et-Garonne,Nouvelle-Aquitaine,47200,44.486672313,0.259983481
20634,COM,47029,75,47,Blanquefort-sur-Briolance,Lot-et-Garonne,Nouvelle-Aquitaine,47500,44.609351186,0.960661079
20635,COM,47030,75,47,Blaymont,Lot-et-Garonne,Nouvelle-Aquitaine,47470,44.294733738,0.859376718
20636,COM,47031,75,47,Boé,Lot-et-Garonne,Nouvelle-Aquitaine,47550,44.170227111,0.646430159
20637,COM,47032,75,47,Bon-Encontre,Lot-et-Garonne,Nouvelle-Aquitaine,47240,44.208220893,0.6880086
20638,COM,47033,75,47,Boudy-de-Beauregard,Lot-et-Garonne,Nouvelle-Aquitaine,47290,44.543749484,0.677518946
20639,COM,47034,75,47,Bouglon,Lot-et-Garonne,Nouvelle-Aquitaine,47250,44.404659385,0.10037013
20640,COM,47035,75,47,Bourgougnague,Lot-et-Garonne,Nouvelle-Aquitaine,47410,44.61903549,0.419735486
20641,COM,47036,75,47,Bourlens,Lot-et-Garonne,Nouvelle-Aquitaine,47370,44.425190677,0.972826685
20642,COM,47037,75,47,Bournel,Lot-et-Garonne,Nouvelle-Aquitaine,47210,44.631843176,0.675658439
20643,COM,47038,75,47,Bourran,Lot-et-Garonne,Nouvelle-Aquitaine,47320,44.332641807,0.404255932
20644,COM,47039,75,47,Boussès,Lot-et-Garonne,Nouvelle-Aquitaine,47420,44.153736579,0.082655259
20645,COM,47040,75,47,Brax,Lot-et-Garonne,Nouvelle-Aquitaine,47310,44.201459495,0.557792158
20646,COM,47041,75,47,Bruch,Lot-et-Garonne,Nouvelle-Aquitaine,47130,44.206517112,0.405485404
20647,COM,47042,75,47,Brugnac,Lot-et-Garonne,Nouvelle-Aquitaine,47260,44.451275148,0.453447272
20648,COM,47043,75,47,Buzet-sur-Baïse,Lot-et-Garonne,Nouvelle-Aquitaine,47160,44.253413139,0.301453576
20649,COM,47044,75,47,Cahuzac,Lot-et-Garonne,Nouvelle-Aquitaine,47330,44.66026013,0.563140662
20650,COM,47045,75,47,Calignac,Lot-et-Garonne,Nouvelle-Aquitaine,47600,44.136363456,0.417444346
20651,COM,47046,75,47,Calonges,Lot-et-Garonne,Nouvelle-Aquitaine,47430,44.373580408,0.226390752
20652,COM,47047,75,47,Cambes,Lot-et-Garonne,Nouvelle-Aquitaine,47350,44.596701205,0.277888973
20653,COM,47048,75,47,Cancon,Lot-et-Garonne,Nouvelle-Aquitaine,47290,44.547358683,0.627465502
20654,COM,47049,75,47,Casseneuil,Lot-et-Garonne,Nouvelle-Aquitaine,47440,44.448184249,0.622185891
20655,COM,47050,75,47,Cassignas,Lot-et-Garonne,Nouvelle-Aquitaine,47340,44.300272631,0.782220442
20656,COM,47051,75,47,Castelculier,Lot-et-Garonne,Nouvelle-Aquitaine,47240,44.18813792,0.711239919
20657,COM,47052,75,47,Casteljaloux,Lot-et-Garonne,Nouvelle-Aquitaine,47700,44.31170019,0.084414592
20658,COM,47053,75,47,Castella,Lot-et-Garonne,Nouvelle-Aquitaine,47340,44.314235342,0.685435819
20659,COM,47054,75,47,Castelmoron-sur-Lot,Lot-et-Garonne,Nouvelle-Aquitaine,47260,44.407820089,0.481021249
20660,COM,47055,75,47,Castelnaud-de-Gratecambe,Lot-et-Garonne,Nouvelle-Aquitaine,47290,44.501962572,0.68304906
20661,COM,47056,75,47,Castelnau-sur-Gupie,Lot-et-Garonne,Nouvelle-Aquitaine,47180,44.579957573,0.140346914
