,CODGEO,TP6020
1321,03131,
1322,03132,
1323,03133,
1324,03134,
1325,03135,
1326,03136,
1327,03137,
1328,03138,17.0
1329,03139,
1330,03140,
1331,03141,
1332,03142,
1333,03143,
1334,03144,
1335,03145,
1336,03146,
1337,03147,
1338,03148,
1339,03149,
1340,03150,
1341,03151,
1342,03152,
1343,03154,
1344,03155,
1345,03156,
1346,03157,
1347,03158,
1348,03159,
1349,03160,
1350,03161,
1351,03162,
1352,03163,
1353,03164,
1354,03165,
1355,03166,
1356,03167,
1357,03168,
1358,03169,
1359,03170,
1360,03171,
1361,03172,
1362,03173,
1363,03174,
1364,03175,
1365,03176,
1366,03177,
1367,03178,
1368,03179,
1369,03180,
1370,03181,
1371,03182,
1372,03183,
1373,03184,
1374,03185,23.0
1375,03186,
1376,03187,
1377,03188,
1378,03189,
1379,03190,22.0
1380,03191,
1381,03192,
1382,03193,
1383,03194,
1384,03195,12.0
1385,03196,
1386,03197,
1387,03198,
1388,03200,
1389,03201,
1390,03202,
1391,03203,
1392,03204,
1393,03205,
1394,03206,
1395,03207,
1396,03208,
1397,03209,
1398,03210,
1399,03211,
1400,03212,
1401,03213,
1402,03214,
1403,03215,
1404,03216,
1405,03217,
1406,03218,
1407,03219,
1408,03220,
1409,03221,
1410,03222,
1411,03223,
1412,03224,
1413,03225,
1414,03226,
1415,03227,
1416,03228,
1417,03229,
1418,03230,
1419,03231,
1420,03232,
1421,03233,
1422,03234,
1423,03235,
1424,03236,17.0
1425,03237,
1426,03238,
1427,03239,
1428,03240,
1429,03241,
1430,03242,
1431,03243,
1432,03244,
1433,03245,
1434,03246,
1435,03247,
1436,03248,
1437,03249,
1438,03250,
1439,03251,
1440,03252,
1441,03253,
1442,03254,15.0
1443,03255,
1444,03256,
1445,03257,
1446,03258,
1447,03259,
1448,03260,
1449,03261,
1450,03262,
1451,03263,
1452,03264,14.0
1453,03265,
1454,03266,
1455,03267,
1456,03268,
1457,03269,
1458,03270,
1459,03271,
1460,03272,
1461,03273,
1462,03274,
1463,03275,
1464,03276,
1465,03277,
1466,03278,
1467,03279,
1468,03280,
1469,03281,
1470,03282,
1471,03283,
1472,03284,
1473,03285,
1474,03286,
1475,03287,
1476,03288,
1477,03289,
1478,03290,
1479,03291,
1480,03292,
1481,03293,
1482,03294,
1483,03295,
1484,03296,
1485,03297,
1486,03298,16.0
1487,03299,
1488,03300,
1489,03301,
1490,03302,
1491,03303,
1492,03304,
1493,03305,
1494,03306,
1495,03307,
1496,03308,
1497,03309,
1498,03310,22.0
1499,03311,
1500,03312,
1501,03313,
1502,03314,
1503,03315,
1504,03316,
1505,03317,
1506,03319,
1507,03320,
1508,03321,10.0
1509,04001,
1510,04004,
1511,04005,
1512,04006,
1513,04007,
1514,04008,
1515,04009,
1516,04012,
1517,04013,
1518,04016,
1519,04017,
1520,04018,
1521,04019,18.0
1522,04020,
1523,04021,
1524,04022,
1525,04023,
1526,04024,
1527,04025,
1528,04026,
1529,04027,
1530,04028,
1531,04030,
1532,04031,
1533,04032,
1534,04033,
1535,04034,
1536,04035,
1537,04036,
1538,04037,
1539,04039,
1540,04040,
1541,04041,
1542,04042,
1543,04043,
1544,04045,
1545,04046,
1546,04047,
1547,04049,16.0
1548,04050,
1549,04051,
1550,04053,
1551,04054,
1552,04055,
1553,04057,
1554,04058,
1555,04059,
1556,04061,
1557,04062,
1558,04063,
1559,04065,
1560,04066,
1561,04067,
1562,04068,
1563,04069,
1564,04070,19.0
1565,04072,
1566,04073,
1567,04074,
1568,04075,
1569,04076,
