CODGEO,MED20
02555,21080.0
02556,
02557,22220.0
02558,18770.0
02559,19000.0
02560,23450.0
02561,26230.0
02562,20910.0
02563,18750.0
02564,23480.0
02565,22060.0
02566,22650.0
02567,18430.0
02568,23430.0
02569,18940.0
02570,20550.0
02571,24040.0
02572,24760.0
02573,
02574,19540.0
02575,18510.0
02576,23410.0
02577,
02578,
02579,21710.0
02580,20190.0
02581,24060.0
02582,
02583,
02584,23460.0
02585,22570.0
02586,23510.0
02587,21730.0
02588,
02589,22650.0
02590,20570.0
02591,20270.0
02592,20970.0
02593,24260.0
02594,24790.0
02595,26460.0
02596,21770.0
02598,24010.0
02599,21620.0
02600,21480.0
02601,22160.0
02602,19670.0
02604,
02605,21390.0
02606,
02607,22520.0
02608,18470.0
02609,
02610,23130.0
02612,19640.0
02613,22500.0
02614,21020.0
02615,25490.0
02616,21160.0
02617,21360.0
02618,19600.0
02619,23400.0
02620,21360.0
02621,26610.0
02622,
02623,
02624,21480.0
02625,19890.0
02626,24170.0
02627,22210.0
02628,22710.0
02629,19360.0
02631,20420.0
02632,
02633,
02634,
02635,21350.0
02636,22790.0
02637,25290.0
02638,19310.0
02639,22060.0
02640,17930.0
02641,15470.0
02642,19410.0
02643,23420.0
02644,23440.0
02645,21620.0
02647,
02648,19360.0
02649,21270.0
02650,19390.0
02651,
02652,
02653,22910.0
02654,
02655,20900.0
02656,26050.0
02657,18730.0
02658,23060.0
02659,26840.0
02660,
02661,23780.0
02662,22670.0
02663,22220.0
02664,25210.0
02665,22760.0
02666,17920.0
02667,24430.0
02668,18690.0
02670,19280.0
02671,19720.0
02672,23190.0
02673,22240.0
02674,
02675,20720.0
02676,20520.0
02677,20260.0
02678,
02679,21140.0
02680,21520.0
02681,19790.0
02682,19130.0
02683,
02684,18170.0
02685,23470.0
02686,22190.0
02687,24650.0
02688,
02689,
02690,
02691,17990.0
02693,21140.0
02694,21550.0
02696,
02697,23560.0
02698,22190.0
02699,19560.0
02701,21520.0
02702,24520.0
02703,20580.0
02704,20010.0
02705,19560.0
02706,23530.0
02707,22360.0
02708,22930.0
02709,18900.0
02710,21390.0
02711,22150.0
02712,25340.0
02713,20940.0
02714,19990.0
02715,
02716,24470.0
02717,21190.0
02718,23090.0
02719,21360.0
02720,18470.0
02721,23860.0
02722,17930.0
02723,
02724,
02725,17750.0
02726,21430.0
02727,19070.0
02728,22570.0
02729,
02730,19160.0
02731,18910.0
02732,
02734,22340.0
02735,
02736,20430.0
02737,19590.0
02738,18380.0
02739,22530.0
02740,20580.0
02741,18770.0
02742,16400.0
02743,20020.0
02744,
02745,21290.0
02746,21020.0
02747,
02748,22880.0
02749,22800.0
02750,18970.0
02751,23480.0
02752,20540.0
02753,18740.0
02754,24850.0
02755,21110.0
02756,23640.0
02757,17580.0
02758,20300.0
02759,18930.0
02760,17060.0
02761,24510.0
02762,20160.0
02763,21430.0
02764,
02765,24700.0
02766,18880.0
02767,24880.0
02768,21880.0
02769,19110.0
02770,23560.0
02772,21890.0
02773,
02774,21870.0
02775,23060.0
02776,19200.0
02777,21640.0
02778,
02779,19050.0
02780,20350.0
02781,23180.0
02782,20820.0
02783,16910.0
02784,20610.0
02785,22990.0
02786,24100.0
02787,22530.0
02788,22430.0
02789,18310.0
02790,20060.0
02791,22590.0
02792,21460.0
02793,22150.0
02794,25350.0
02795,21120.0
02796,
02797,18340.0
02798,21360.0
02799,20810.0
02800,21910.0
02801,19880.0
02802,19570.0
02803,22440.0
02804,22180.0
02805,19810.0
02806,19680.0
02807,24380.0
02808,20260.0
02809,
02810,20030.0
02812,25230.0
02813,20930.0
02814,21010.0
02815,22620.0
02816,21570.0
02817,
02818,23430.0
02819,18320.0
02820,23220.0
02821,23680.0
02822,23990.0
02823,
02824,26050.0
02826,20710.0
02827,20270.0
