CODGEO,SNHMC20,SNHMP20,SNHME20,SNHMO20,SNHM1820,SNHM2620,SNHM5020,chomeur_1564,actif_occ_temps_plein_15plus,actif_occ_temps_partiel_15plus,inactif_1564,inactif_65plus,D120H,D920H,MED20H,Ecart H/F études supérieures,Ecart H/F temps partiels,Ecart H/F actifs occupés,Ecart H/F Salaire net moyen,ets_total,ets_industrie_p,ets_impact_local_p,ets_taille50p_p,ets_creation_p,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO,TP6020,pauvrete
09282,24.6562526619433,15.1107035186625,10.6339205842269,12.1593179335977,9.7794876957223,13.8131019532809,15.6717787579577,7.6,40.9,8.8,18.0,24.6,6.818681318681318,18.53846153846154,11.615384615384617,45.61030803122506,72.49373137014621,11.295532581736888,18.410169095976716,148.0,12.2,65.5,2.7,34.5,15.45,19.02,20.9,16.16,9.08,36.98,26.51,25.35,10.23,14.0,1
09306,18.8394560250005,15.0876959900681,10.2935415621641,12.1872543569911,10.1080147360329,12.5507301184942,14.211106217551,9.7,27.3,6.9,21.0,35.0,5.642857142857143,17.093406593406595,10.115384615384617,43.91683956786415,68.05135455928658,19.714223333822037,15.2277184384958,148.0,11.5,70.9,2.0,20.3,14.3,15.01,18.49,20.98,14.01,44.13,24.98,20.88,8.29,23.0,1
09312,23.1969798344206,16.0356386107013,11.5157075414301,12.5012567022998,10.6299835588466,14.6912728557057,15.9565591556381,5.7,41.0,9.9,16.6,26.7,7.5,19.296703296703296,12.0989010989011,15.151515151515152,79.14438502673796,7.566765578635015,21.95486394160622,48.0,10.4,81.2,0.0,70.8,13.42,20.17,19.33,17.18,8.11,26.12,29.1,31.72,12.69,9.0,0
09324,25.5422374704445,15.4278111230521,10.7138383307001,11.731475572832,9.99398846043822,13.3028237290956,15.961203998234,6.6,40.2,8.0,17.5,27.8,7.076923076923077,19.346153846153847,12.06043956043956,10.090953490371488,80.97310844192042,-1.1672134105077507,17.22912071277535,97.0,20.6,71.1,4.1,44.3,14.06,18.18,20.69,17.59,10.54,37.41,28.48,21.43,10.49,12.0,1
10003,24.2581864169501,14.5492023017342,10.9719187630871,11.8280832414527,9.72424114678773,13.1522912010833,14.8515735044378,9.6,32.4,6.9,18.3,32.8,6.532967032967033,18.467032967032967,11.203296703296704,9.765089654345902,66.65400709205977,13.81384982572724,17.587325595039843,108.0,10.2,67.6,1.9,21.3,13.96,16.35,18.45,21.13,11.26,35.62,31.48,20.78,11.19,17.0,1
10006,24.634665055208,15.7895440075712,10.6555056930572,11.9356638969177,10.515778483452,12.8919609551772,15.3921089667291,8.6,33.0,7.6,17.5,33.2,6.329670329670329,18.203296703296704,10.873626373626374,-44.64483259194112,76.74418604651156,10.909369160263097,16.735496298118868,121.0,9.1,72.7,4.1,18.2,16.74,15.82,17.05,19.01,11.96,41.44,27.0,17.87,12.55,17.0,1
10033,23.1042392841915,14.6947253382276,10.8291985157511,11.3842504792782,10.2470802052218,12.3908254531324,13.8047699470809,10.8,30.9,6.6,18.9,32.7,5.807692307692308,17.439560439560438,10.247252747252746,12.82051282051282,57.38636363636363,5.477707006369426,11.447031941992453,221.0,7.2,72.4,2.7,10.0,14.0,15.27,20.03,21.08,12.35,48.11,25.21,15.13,11.13,23.0,1
10034,23.1892557057577,14.4534802726474,10.3154175913532,10.8247739559974,10.3121849369852,11.9402471851604,14.2951170363392,9.0,30.9,8.6,20.4,31.0,5.945054945054945,18.978021978021975,10.576923076923077,71.52149827769807,39.35750703560174,15.222571671795802,7.960983316198737,178.0,5.6,69.7,4.5,11.2,18.03,14.1,19.3,18.71,11.37,46.1,23.05,17.1,13.01,22.0,1
10060,24.6288499985321,14.6219108869348,11.0901406533771,11.6502615138691,9.90075595063347,14.1834977892779,15.6727963773613,6.7,43.4,7.5,17.3,25.2,7.318681318681318,20.142857142857142,12.406593406593409,19.565217391304348,75.80645161290323,1.8487394957983196,14.042451159812922,79.0,13.9,64.6,2.5,36.7,14.7,19.26,20.13,16.63,8.35,29.24,30.51,26.69,13.14,10.0,0
10064,23.1614795805843,14.9268510505457,10.3007950377766,11.1599298118311,10.2955726181942,12.4269358394575,13.5100997018757,8.4,30.0,6.1,23.9,31.7,6.032967032967033,17.626373626373628,11.0,26.431283405561064,68.32502886142535,17.453459480154844,10.669153636728742,114.0,7.0,86.8,4.4,19.3,15.17,14.81,22.15,20.08,12.44,48.25,22.95,16.98,10.3,19.0,1
10081,22.2241526583284,14.4816192379888,10.5387052082904,11.0587855543457,10.1722928996923,12.0766135018996,13.6365698938517,14.9,29.3,7.3,23.7,24.8,5.186813186813187,15.263736263736265,8.840659340659341,-64.56809617619938,59.50330575815375,2.342524339758659,8.122311326893639,469.0,12.4,60.6,4.9,26.2,17.6,17.42,17.14,15.31,7.73,38.88,20.9,23.49,15.59,35.0,1
10265,21.4996293534181,14.3651277682217,10.4288658702381,11.3883016580124,9.87806545554188,12.607091412155,13.2815536409994,9.5,33.5,6.6,21.0,29.3,6.1923076923076925,16.87912087912088,10.25824175824176,-9.946476360392731,62.93060409385909,1.854322104152518,12.984665281037952,26.0,3.8,73.1,3.8,111.5,16.03,16.46,17.77,20.02,8.94,44.23,18.27,20.83,15.71,21.0,1
10268,25.5167425883051,15.5675286259868,11.3477994204071,11.9186830638583,10.4726200553677,14.6855220484632,15.7433587092912,11.3,40.7,5.3,18.8,23.9,6.15934065934066,19.642857142857142,10.95054945054945,-24.32633590845276,70.19634502973872,20.479701083562528,11.6854137364442,225.0,12.4,65.3,6.7,23.1,18.34,19.25,17.89,14.98,8.62,39.67,23.18,22.58,12.71,19.0,1
10297,23.7919010338857,15.0908817565236,10.7094955466914,11.1215851589826,10.5167474708206,12.7942978484489,15.2869357180984,9.6,33.6,8.1,17.8,30.9,5.802197802197802,19.04945054945055,10.582417582417582,12.239559030269255,62.715323162745285,0.3040579167506393,13.443002898822655,267.0,6.4,80.5,4.5,18.7,17.06,15.85,17.16,16.62,11.2,33.88,28.5,24.07,12.38,20.0,1
10321,26.1429992213844,17.5452713023957,11.6981292118733,11.6227312738986,11.0300771279448,15.8504639726394,19.0280552385928,5.1,39.4,7.1,18.3,30.1,8.10989010989011,22.52747252747253,13.461538461538462,19.71193971325907,83.62138318181918,-7.337373621560367,24.16902764898623,57.0,8.8,66.7,5.3,57.9,12.56,15.26,22.27,21.67,9.58,22.98,40.42,26.64,8.85,6.0,0
10323,21.4247381451986,14.200817215516,10.7433952589046,11.4871077195893,10.163216552469,12.2976293368017,13.2546925794768,13.3,30.8,6.2,20.2,29.5,5.302197802197802,15.527472527472527,9.593406593406591,-32.46699118888498,64.05508078671019,14.154910857075848,11.665722471005688,394.0,7.1,79.4,3.8,32.7,14.89,16.46,18.24,19.13,9.41,42.79,23.3,21.72,11.45,29.0,1
10325,25.5337112148243,15.1394746897278,11.411172441085,12.1731571620052,10.6504681444059,15.5306125141104,17.2642549829119,5.9,41.7,6.4,29.0,16.8,7.791208791208791,21.467032967032967,12.972527472527473,53.31596315184544,78.25881518806705,12.786829017098215,19.967425798128176,169.0,11.2,47.9,6.5,23.7,28.71,17.45,18.11,12.61,5.74,42.45,24.99,26.09,5.39,7.0,0
10333,24.7771183146378,15.3119772748909,11.0434167928826,11.2969832110365,10.5764015851061,14.2239636975428,15.7055490444905,8.6,39.9,6.8,19.7,25.0,6.21978021978022,19.60989010989011,11.478021978021978,28.1272442303667,64.4372717132846,-13.369919747639548,14.187771266425129,308.0,8.4,73.7,4.5,49.7,17.38,18.98,17.43,16.57,9.28,42.56,24.8,19.4,11.72,16.0,1
