CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,TP6020,pop_tot
57306,15.74,26.77,55.9,37.14,17.62,19.0,16186
57323,7.77,15.16,58.67,24.97,13.68,10.0,7921
57332,20.6,29.09,47.09,45.92,22.34,22.0,6330
57336,19.29,24.92,62.34,32.09,21.5,19.0,5262
57368,23.5,26.27,42.54,39.92,16.44,24.0,3245
57370,9.02,16.14,79.02,21.69,13.6,9.0,2318
57412,11.79,12.0,24.3,43.64,13.68,12.0,3990
57413,11.1,19.45,71.67,23.62,16.44,9.0,3709
57428,16.12,17.05,71.14,24.83,22.19,12.0,2828
57433,12.3,21.21,52.55,39.97,14.65,18.0,11892
57441,8.29,12.02,61.0,29.13,14.74,8.0,3008
57443,10.95,19.28,71.36,23.82,15.19,11.0,6502
57447,9.04,13.62,71.98,26.44,16.65,6.0,10187
57463,17.24,18.52,14.1,59.84,21.08,23.0,122036
57474,13.96,22.39,56.45,33.89,14.81,16.0,5758
57480,15.14,18.34,21.75,56.18,15.12,18.0,22135
57481,10.88,18.71,75.58,23.17,15.46,10.0,2747
57483,23.62,34.32,50.78,47.9,21.17,26.0,3475
57484,18.29,24.21,56.71,32.38,19.48,16.0,2703
57487,13.81,17.12,47.79,40.3,14.14,10.0,5079
57491,16.04,26.41,68.18,29.24,17.8,21.0,7412
57508,13.01,27.41,55.84,29.18,15.02,18.0,4483
57521,8.72,15.86,82.6,13.37,16.0,9.0,2765
57537,20.73,28.25,65.44,30.22,22.03,20.0,6324
57540,12.64,18.21,64.93,37.17,15.03,11.0,4939
57556,17.07,29.01,74.16,23.31,17.87,18.0,3127
57566,9.68,19.06,85.86,17.22,13.6,9.0,2413
57591,16.75,25.65,44.19,40.19,16.79,21.0,9955
57597,16.94,34.72,67.26,27.98,21.82,19.0,2592
57606,17.7,22.81,40.19,46.03,21.33,20.0,15494
57616,8.53,15.06,58.32,25.65,14.21,7.0,3531
57620,12.05,19.21,73.96,25.79,13.41,9.0,4522
57628,15.62,26.11,68.38,30.82,16.52,17.0,4540
57630,17.21,22.97,35.67,44.82,23.51,20.0,12582
57631,17.18,25.54,38.2,48.86,19.16,22.0,21017
57638,10.36,18.76,68.75,20.96,17.59,12.0,2514
57642,8.62,12.47,49.29,34.39,15.66,9.0,2717
57647,11.99,20.54,69.03,30.12,16.33,15.0,4220
57659,9.23,17.31,68.53,23.9,15.23,9.0,3283
57660,21.6,34.51,34.93,46.36,22.43,23.0,11174
57663,13.86,22.14,42.08,44.2,16.49,20.0,8009
57666,12.56,18.03,47.56,43.12,15.02,18.0,7421
57669,19.68,25.49,61.22,36.31,20.5,21.0,2503
57672,12.67,18.23,28.72,49.38,15.55,18.0,42117
57678,11.59,19.6,93.15,14.08,17.81,12.0,2331
57683,23.87,30.57,49.28,45.28,18.78,28.0,6988
57690,12.87,21.04,70.14,29.51,18.05,16.0,3044
57724,13.56,19.99,72.56,27.25,17.48,15.0,3051
57751,23.72,30.06,32.33,61.87,21.34,31.0,14649
57752,11.79,18.2,75.57,25.8,15.12,10.0,2941
57757,12.93,18.7,45.36,39.07,15.16,17.0,17580
58059,14.83,30.74,62.32,35.51,18.2,17.0,4726
58079,22.83,36.4,58.17,45.32,18.8,25.0,3779
58086,15.21,31.79,73.08,33.3,14.71,16.0,9658
58088,10.06,17.37,89.51,22.86,15.33,7.0,3779
58095,14.37,31.57,58.73,35.82,16.35,16.0,5375
58117,18.67,28.94,50.61,51.6,19.74,20.0,4120
58121,11.87,19.53,90.07,20.9,18.06,12.0,3795
58131,12.46,19.29,80.13,28.51,15.07,12.0,2568
58134,15.78,28.59,69.92,31.39,20.61,14.0,3233
58151,15.7,33.74,85.98,21.36,20.03,17.0,3283
58194,20.08,24.07,34.58,53.14,19.78,22.0,33285
58214,7.7,16.52,85.4,24.42,14.65,9.0,2410
58303,11.68,20.77,72.42,30.74,16.18,11.0,9362
59002,19.29,22.84,93.99,42.04,17.85,19.0,4274
59008,23.69,24.47,84.5,44.79,21.65,28.0,10025
59009,17.85,13.98,42.15,51.94,23.66,20.0,61902
59011,12.51,23.71,77.71,25.82,21.22,10.0,10787
59012,22.55,28.15,91.9,29.67,18.84,27.0,3301
59014,27.67,30.47,68.69,54.87,21.97,30.0,13270
59015,13.49,23.14,87.99,29.04,17.13,14.0,3186
59017,18.31,26.9,57.27,47.65,17.95,24.0,25588
59024,17.14,26.37,96.67,36.58,18.73,18.0,4661
59028,23.4,28.6,87.34,48.47,19.64,24.0,7236
59032,18.39,17.92,60.07,39.86,24.61,18.0,7237
59033,24.19,24.16,77.41,48.02,20.04,24.0,9042
59035,17.14,27.96,82.82,31.92,18.81,16.0,2355
59036,38.46,32.57,47.32,62.48,19.59,37.0,4295
59037,22.17,27.25,94.92,27.33,17.11,21.0,3662
59041,17.71,20.21,92.86,40.44,18.61,20.0,2292
59043,11.94,22.11,74.23,38.67,16.58,10.0,15250
59044,7.19,16.0,91.81,21.83,15.21,5.0,5044
59051,16.51,25.03,63.81,41.98,16.53,16.0,6603
59052,12.44,21.47,94.68,25.1,17.47,11.0,5088
59053,18.52,23.38,87.0,40.44,16.33,18.0,3308
59067,17.52,26.49,55.77,55.7,15.28,15.0,3623
59068,20.58,25.52,92.85,30.15,17.93,17.0,3210
59079,27.26,25.2,74.56,50.43,19.89,30.0,6833
59090,10.5,11.65,85.0,19.07,17.1,5.0,9944
59092,17.75,24.02,91.89,29.87,18.25,15.0,3979
59094,19.17,28.23,79.59,47.07,17.51,18.0,7135
59098,7.67,17.46,83.5,24.74,14.15,6.0,4845
59104,21.85,26.0,92.1,33.25,19.32,20.0,3201
59107,17.94,23.37,79.66,28.07,17.08,13.0,4521
59112,25.19,29.31,83.89,45.14,21.78,30.0,11373
59118,23.74,26.06,96.6,28.46,17.79,25.0,2464
59122,23.51,24.39,55.32,48.9,17.58,22.0,32128
59131,16.63,23.64,72.93,38.67,17.15,16.0,8030
59135,11.08,21.13,84.08,28.87,16.49,13.0,2349
59136,30.71,35.55,77.0,47.23,20.43,32.0,7153
59139,29.58,32.02,71.64,52.73,18.64,29.0,14170
59143,12.77,20.21,86.05,29.53,16.4,12.0,8724
59152,12.72,26.31,81.63,35.31,17.18,13.0,12847
59153,28.69,32.1,74.2,59.04,21.99,33.0,9498
59155,17.13,24.95,71.49,38.56,17.38,15.0,20987
59156,13.64,23.08,87.73,29.92,15.26,12.0,2947
59157,18.11,20.62,92.86,31.01,17.23,24.0,2192
59158,8.29,12.38,95.46,14.71,16.08,6.0,3197
59160,22.62,23.13,87.26,38.58,19.0,23.0,4511
59163,14.24,18.65,53.59,38.63,16.44,15.0,20837
59165,15.29,19.81,84.12,30.09,17.55,12.0,6509
59168,9.12,14.96,80.53,24.93,14.17,7.0,4866
59170,22.24,30.43,84.2,45.63,19.35,25.0,5385
59172,35.17,34.36,80.98,57.83,24.55,41.0,20532
59178,23.36,22.61,47.74,55.7,23.51,27.0,40697
59179,19.19,27.07,74.12,43.76,21.85,27.0,10179
59183,21.77,23.36,44.01,49.53,18.5,20.0,87805
59202,9.61,18.61,85.02,30.9,14.56,8.0,5402
59205,26.74,30.43,91.3,47.71,21.86,27.0,9489
59206,19.16,25.26,90.44,30.3,16.59,18.0,3214
59207,27.37,28.22,92.87,58.47,20.57,31.0,4200
59210,11.82,18.51,94.94,23.65,16.31,11.0,2176
59212,11.47,23.99,86.82,29.66,14.81,12.0,6624
59220,13.77,18.82,72.02,29.48,14.74,15.0,18280
59221,19.08,11.74,60.75,43.1,25.03,14.0,2562
59225,20.37,22.39,84.24,36.2,18.14,22.0,6831
59227,18.56,24.4,96.73,34.23,17.77,18.0,5564
59230,24.58,23.69,83.83,37.95,17.93,24.0,5292
59234,20.71,26.98,84.61,46.1,19.11,20.0,5792
59239,9.97,15.99,91.25,20.83,15.22,9.0,5703
